ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,self-esteem
318,37.502274,0.07707144,36.635353,37.483078,39.38609,2.7507362,87.19539,90.09827,34.027122,51.817707,0.4854201,0.3764914,0.31478477,0.47939613,0.6318335,0.31704873,3.9551244,2.3108969,2.562875,1.5664282,0.21060789,0.5400741,24.615067,0.36803952,13.158773,0.7826134,6.0883765,1.8584511,0.4551192,26.817423,0.027978154,1.2549113,1.1914041,0.43816897,8.361256,0.31337243,7.527024,1.3843467,24.111164,0.34203476,806.34784,0.22711518,1367.4199,0.16479963,-101.097404,-0.8548922,1823.0878,0.11756751,1122.8278,0.27341017,-101.76329,-0.7899399,2892.7756,0.07729915,913.63873,0.3848195,-105.34544,-0.7332373,-18.451002,-0.34656164,30.283888,0.2532799,0.02360215,0.70321333,-0.017887222,-0.55261385,0.25778696,0.40555447,28.261488,0.2582494,11.965705,0.92776823,4.814285,2.558509,-4.107314,-2.9576395,-13.808356,23.144573,0.005553496,-0.007755749,0.14638531,3.3758442,2.653981,0.2090566,0.17175855,0.16347368,0.19922358,-26.320395,26
319,35.46355,0.06531813,33.737774,35.221085,37.409878,3.672104,79.1454,137.35355,26.697735,37.15703,0.57880604,0.37325576,0.38122985,0.55120057,0.7435932,0.36236337,4.351997,2.7922046,2.5995114,1.5744042,0.28971547,0.49800166,24.18112,0.47790346,15.3766,0.6203512,0.2983989,41.36921,-0.21085164,-41.449703,0.027205648,0.9103424,1.3040049,0.45669094,7.4399905,0.34502316,4.25458,2.3954263,23.558691,0.3504684,770.56104,0.25838953,1392.3049,0.16273157,-127.4966,-0.6647786,1793.7219,0.1469504,1185.4762,0.27247807,-127.997734,-0.62511456,2893.1619,0.07590966,932.96704,0.406779,-130.57716,-0.5893093,-17.67911,-0.4314434,31.486425,0.24038877,0.023245312,0.72447014,-0.018574933,-0.53622824,0.34808242,0.4006799,28.345053,0.27562636,16.36005,0.5539539,-1.9083835,-7.6468143,0.53594047,17.92669,-12.144915,22.69568,0.016879361,-0.013290736,0.24646431,2.875719,2.7290938,0.14770642,0.11254057,0.20951456,0.23047176,-24.952148,40
322,34.356384,0.075715825,33.62811,34.746826,35.71289,2.0847816,247.64258,365.81793,43.19331,86.26198,0.2972337,0.47828823,0.17742155,0.22027665,0.43266392,0.25524235,1.9465911,1.084724,1.592044,0.9616698,0.124649584,0.8708651,23.946806,0.3169828,17.626678,0.4081952,8.640364,0.97370076,7.1854267,1.18428,0.025224943,1.7924693,1.0900462,0.5571449,9.27089,0.268364,9.482053,1.1568465,28.38878,0.29606187,759.3009,0.2929363,1399.1982,0.15949494,-132.4453,-0.6520509,1848.245,0.13931692,1142.2002,0.25758037,-134.74821,-0.5936529,2927.6052,0.08791592,1016.2388,0.2947235,-136.9006,-0.564552,-23.006266,-0.25932786,34.430904,0.19360876,0.022826677,0.96365714,-0.015439495,-0.8405788,0.20408961,0.62380075,30.165413,0.22000992,20.301872,0.4228576,7.7963085,1.510673,4.5417256,2.3366795,-15.056416,22.819113,0.001208492,-0.003806949,0.07255633,1.7254314,1.076615,0.35999998,0.26833683,0.6035897,1.2880665,-27.931572,26
324,33.579018,0.052530993,32.258316,33.63665,34.929955,2.6716385,57.985832,99.116776,36.06371,96.451385,0.4515011,0.35904565,0.2915228,0.42930183,0.57585764,0.28433484,2.8615468,1.9469757,1.9815546,1.1466376,0.19211073,0.42176205,26.516432,0.3564959,13.364251,0.7241086,-0.3450388,-23.74719,0.37686327,22.208435,0.022493036,1.1382022,1.2529442,0.4243001,6.454732,0.37878975,1.437232,5.4721756,26.011625,0.30620027,734.6896,0.2301474,1369.9596,0.143903,-142.69286,-0.5886786,1793.4484,0.12471736,1122.4019,0.25997603,-145.60368,-0.5364825,2867.2588,0.08907177,1033.2731,0.3330819,-148.30087,-0.5002966,-17.482449,-0.3384626,28.580564,0.28744683,0.024295857,0.57685316,-0.024302954,-0.46989405,0.2521537,0.3368245,30.643002,0.2291389,12.360757,0.9064871,-1.5840709,-6.437219,-2.3212998,-4.420114,-14.063615,23.394484,0.016170006,-0.015665647,0.16446708,2.6006503,1.9028543,0.15710527,0.11105732,0.34815788,0.45517698,-28.672047,30
325,33.57096,0.1116392,32.591927,34.80455,35.697,3.105072,415.21378,463.15802,69.249886,170.81964,0.5203438,0.2857221,0.3873936,0.5106973,0.63467264,0.24727905,3.0985925,1.6167293,2.0898952,0.95095235,0.28344947,0.4061202,29.561684,0.24622205,15.066582,0.5153277,3.3352115,2.8465428,1.3549182,6.37245,0.03336437,1.2709538,1.3167152,0.4459357,7.05432,0.37809622,9.195414,1.1089361,29.92384,0.25796708,712.3794,0.2947279,1440.9949,0.15121381,-116.293625,-0.7458741,1751.8878,0.14202917,1160.1172,0.2505094,-118.614204,-0.6803864,2877.3462,0.08569993,981.032,0.32639566,-122.42947,-0.6275018,-20.353065,-0.28644243,33.368732,0.18851584,0.023217529,0.6865139,-0.017861044,-0.54919404,0.33010322,0.33019403,31.71945,0.17947952,15.959646,0.508734,4.546742,2.3298385,0.19247222,50.481625,-16.017727,27.363228,0.013853092,-0.014586979,0.23963743,3.6259067,2.9544318,0.15364406,0.13230467,0.176,0.19315659,-24.801523,23
327,34.258503,0.0959068,33.03829,34.534668,36.285667,3.2473793,189.63768,242.70438,39.460083,54.07007,0.46834204,0.40642512,0.28081894,0.4560885,0.62117195,0.340353,3.5755684,1.9582322,2.321252,1.319125,0.20508212,0.56657207,24.501438,0.4125338,14.26968,0.70350343,4.5388565,2.8744075,9.179666,1.215683,0.026611399,1.8072858,1.2162585,0.49362248,7.37116,0.36437455,12.087394,0.91759664,26.632156,0.32718137,655.60864,0.36332625,1407.5985,0.18008566,-112.98167,-0.7942831,1697.7437,0.15691131,1126.2477,0.30440786,-111.14858,-0.75385386,2778.4553,0.09858842,979.4481,0.3359964,-114.689575,-0.69991046,-16.74323,-0.40202498,28.6508,0.259971,0.030724078,0.58009803,-0.009253564,-1.2635257,0.25620934,0.4098435,28.763199,0.25640845,13.968708,0.7254632,3.7607963,3.853719,8.367125,1.3593243,-12.395998,22.335667,0.01485823,-0.003667167,0.15173274,3.2508128,2.4536805,0.1994898,0.1659258,0.20153846,0.20269568,-27.04921,32
328,36.808186,0.07102653,35.92141,36.959343,38.69293,2.7715187,322.34418,536.13477,25.507517,56.20425,0.46891943,0.38794804,0.27433157,0.45762107,0.6205076,0.34617603,3.378029,1.81785,2.2895026,1.3420386,0.21601887,0.57411736,27.62561,0.32175505,16.410048,0.57601523,1.5143914,7.901829,-3.2514815,-3.5050483,0.021643681,1.3054266,1.0977328,0.49391776,9.317807,0.28453615,5.0596347,2.3557792,28.785648,0.29881868,749.41003,0.2617915,1381.0077,0.14798194,-85.231674,-1.0074185,1799.8533,0.14009646,1172.5162,0.25642416,-88.71126,-0.8689592,2928.9863,0.07869263,951.4927,0.3453409,-93.79999,-0.7805579,-21.153824,-0.30190265,34.422527,0.20261435,0.030298777,0.6054047,-0.019481182,-0.5693291,0.26209998,0.4416705,30.73985,0.24405295,16.75848,0.59358793,-0.3924428,-33.436127,-6.3742743,-1.7874777,-14.39668,24.14194,0.008677159,-0.008102106,0.12660663,3.3258317,2.028042,0.3174074,0.23598374,0.18582089,0.2941476,-24.988401,32
329,36.414623,0.08206501,36.10844,36.872017,37.941807,1.8333664,219.1704,290.76437,23.815401,21.778465,0.3899736,0.3731743,0.2298058,0.3847481,0.50360566,0.27379987,2.5150204,1.4537802,1.6575987,1.0105702,0.14270268,0.4775039,26.972935,0.2832034,13.424949,0.58829165,1.8754706,5.452715,-1.4222203,-6.885635,0.021386035,1.3195412,1.1168712,0.44291326,7.6880274,0.35347834,11.480766,0.92090267,31.67788,0.2604523,677.6366,0.30607033,1442.1011,0.14414291,-110.51756,-0.8265666,1705.8549,0.14065307,1172.9248,0.26573905,-106.66976,-0.7962911,2848.5718,0.09390862,1041.6345,0.35406974,-112.5426,-0.70570755,-17.75247,-0.37085807,32.062378,0.20434484,0.035450708,0.5095078,-0.013950252,-0.7031337,0.17570567,0.37113118,30.617287,0.20254053,12.334041,0.76267976,-0.3346401,-35.703884,-5.5273256,-1.7905943,-14.830014,25.298897,0.011078435,-0.0078225,0.105055355,2.5506377,2.15323,0.23837209,0.18671493,0.21790123,0.38167503,-29.421885,28
330,35.693848,0.088693805,34.186974,35.550922,37.26361,3.0766373,221.11635,357.34937,67.79212,95.68817,0.67726445,0.37831607,0.43986517,0.6685851,0.8938754,0.45401025,5.67589,3.239511,3.54614,1.5433195,0.35468155,0.5015651,27.09592,0.36067644,8.260799,1.3874809,4.158383,3.2811248,-7.511004,-1.9613363,0.026211211,1.3668085,1.2917564,0.45471418,6.624359,0.39649677,6.416534,1.598291,26.935059,0.35822043,692.5665,0.27262205,1382.4545,0.16152865,-115.801575,-0.7803025,1723.8328,0.13031198,1099.3887,0.28180486,-116.14348,-0.724609,2839.532,0.09137768,975.05,0.3828539,-120.392456,-0.66190267,-15.53272,-0.4428374,27.907038,0.28379333,0.03442423,0.5171025,-0.018914875,-0.7562993,0.40693927,0.38523278,30.107328,0.25802484,7.542102,1.5713392,2.8138897,5.124831,-12.497803,-1.1341833,-12.770672,23.282318,0.019057278,-0.013674339,0.30715853,3.5258818,2.7541313,0.16463636,0.14818093,0.1862857,0.207191,-24.02525,33
332,35.649277,0.11713531,34.12906,35.96132,38.944595,4.8155365,113.83036,143.98557,74.93157,110.42966,0.5301447,0.35418406,0.38182473,0.5012901,0.67187357,0.29004884,4.2504115,2.6830902,2.602564,1.2350041,0.21978761,0.5173603,21.572561,0.4993115,14.521874,0.81950676,2.8797297,4.3266373,-0.042099584,-260.23468,0.026038075,1.6209517,1.2598916,0.47837278,7.1902227,0.36721653,10.70248,0.90110797,28.045044,0.304923,683.55054,0.27203476,1427.0913,0.14787064,-101.50481,-0.8827958,1745.7783,0.12200859,1128.513,0.27577567,-104.26342,-0.7820617,2801.0583,0.09273249,945.70557,0.3688535,-107.150856,-0.73611903,-17.273388,-0.36895347,27.142483,0.2793652,0.037719026,0.47380573,-0.021662917,-0.48941943,0.25745142,0.43888167,25.779387,0.30590424,14.305412,0.80827373,1.5541241,8.965676,-2.9355736,-3.6626048,-11.197571,19.109484,0.021006083,-0.013063272,0.17386957,3.1257815,3.3800702,0.1542963,0.11767841,0.13129032,0.1328956,-27.213043,31
