ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
70,31.802208,0.083681256,30.38554,31.840479,33.74892,3.3633804,212.5418,412.93552,26.723331,22.933477,0.5903653,0.44058034,0.29915667,0.5827872,0.79724675,0.4980901,4.017118,2.1435487,3.1318998,2.1588278,0.27839234,0.63961357,26.475132,0.39830437,9.514208,0.83687127,6.051384,1.9210606,-4.9878306,-2.193128,0.019070756,1.5603338,1.1808205,0.49677563,6.6265917,0.41325194,-1.2543696,-6.858284,23.219032,0.31567836,563.51544,0.3140829,1395.3761,0.1350658,-109.928185,-0.8511716,1591.1417,0.14039814,1135.2828,0.25774232,-114.21509,-0.75891644,2717.127,0.07470996,897.6324,0.3779169,-117.80593,-0.70354646,-16.526663,-0.2967273,26.972486,0.24138662,0.044109996,0.37731907,-0.024076832,-0.44196796,0.37033573,0.42211607,31.41596,0.2628297,9.352943,0.9255014,6.5024323,2.1501157,-9.920239,-1.0928227,-11.51319,20.652756,0.027151033,-0.010778851,0.19341011,2.650663,1.9529295,0.23807691,0.17820369,0.2568831,0.37150186,-24.661959
71,36.57811,0.089453965,35.836803,36.82174,38.265854,2.4290504,71.75375,73.70449,58.20104,87.21996,0.49385864,0.36482355,0.3362598,0.45595494,0.62664354,0.29038373,3.4412777,2.548863,2.1723373,1.3389441,0.242049,0.56500125,29.508995,0.25232294,7.777074,1.176938,-0.407255,-21.72883,-7.038856,-1.5088409,0.026930174,1.0128087,1.2851424,0.4317362,7.7455726,0.32833996,5.9677405,1.7189558,28.895266,0.28133512,753.8418,0.24099948,1412.9222,0.14909598,-126.98741,-0.69572586,1794.9537,0.13102269,1210.206,0.23002398,-126.67972,-0.6498801,2904.254,0.07448944,1007.31305,0.36931044,-130.00206,-0.60334265,-18.998922,-0.3344108,32.741917,0.19127834,0.04448078,0.32831562,-0.022120932,-0.44064644,0.32774404,0.41056797,32.89983,0.203711,8.388862,1.2679948,-0.37781176,-29.340689,-12.186657,-1.0029349,-13.458362,24.185663,0.030245204,-0.013413481,0.17755722,1.975494,2.028042,0.20320988,0.17700405,0.29418918,0.44422424,-26.373547
72,36.321815,0.066917546,34.928684,36.180542,37.573627,2.6449432,80.37916,102.12904,19.04477,23.518347,0.45998684,0.37920216,0.2958178,0.46523798,0.6023843,0.30656654,3.2293813,1.9049014,2.138353,1.2125653,0.17931405,0.58184224,22.862032,0.44867113,15.184418,0.7270206,-0.7919145,-15.331712,-2.6862915,-4.020731,0.02029586,1.1770042,1.1120214,0.45934403,8.265727,0.35706428,7.0293593,1.2790085,26.941896,0.3010713,777.74524,0.20026696,1337.9962,0.16918114,-88.382454,-1.0001332,1812.2233,0.10348488,1061.0988,0.28620428,-94.32478,-0.85706663,2905.902,0.06565514,807.2248,0.36696613,-97.939964,-0.7942478,-17.95194,-0.36121446,29.10781,0.25517654,0.041651912,0.36905804,-0.020263823,-0.55298495,0.21881592,0.4326151,26.771362,0.2989018,14.490949,0.7651449,-2.8477886,-4.631915,-4.5446463,-2.4752736,-11.560109,20.246181,0.021495786,-0.008428957,0.11630195,3.2508128,2.103155,0.2840476,0.21273792,0.18358974,0.40538353,-27.509462
74,34.889565,0.05359656,33.56605,34.794415,36.193718,2.6276665,18.568293,21.787573,9.999663,9.561511,0.42612186,0.41603658,0.24341592,0.4139615,0.5787528,0.3353369,3.339276,1.8968935,2.0589023,1.0010589,0.16869806,0.62787616,24.569138,0.45767078,14.42988,0.8022388,6.59499,1.7282226,-0.48849526,-22.471996,0.017793965,1.0745989,1.0902022,0.5489466,8.914613,0.3087479,7.166828,1.341271,26.972319,0.3489532,784.7065,0.2558872,1380.6555,0.16301644,-88.015396,-0.9829447,1823.965,0.11904091,1127.815,0.2964022,-92.42786,-0.86170447,2911.562,0.08077078,952.83795,0.35252818,-96.97299,-0.78448284,-19.1193,-0.38046965,31.515818,0.25021097,0.034344286,0.50502414,-0.016667588,-0.827461,0.20727189,0.4897568,29.124117,0.2986895,14.746984,0.8275907,7.132723,1.8360379,-2.7227921,-4.4447174,-11.196072,20.065184,0.024476482,-0.006142156,0.10207617,3.1007752,1.7275914,0.3585507,0.30569127,0.20567162,0.24648108,-26.786028
75,28.260643,0.078869514,26.266312,27.912804,30.437372,4.1710606,62.590065,88.057556,37.628494,67.94193,0.62941754,0.42351714,0.37204063,0.62483853,0.8408092,0.4687686,4.52491,2.6350844,2.5524998,1.3054011,0.34689298,0.60603803,27.79568,0.35142082,15.128056,0.58642,3.4990852,2.7147717,6.4365263,1.4723178,0.019350123,1.0474957,1.27505,0.5084957,5.242193,0.458148,8.918356,0.86553,32.669155,0.2872046,681.52734,0.32295406,1418.5973,0.17188895,-91.67219,-0.994695,1759.994,0.16347156,1127.4232,0.2722272,-97.702415,-0.8577396,2828.0767,0.1131463,1077.8102,0.31615582,-101.10361,-0.80087525,-18.66795,-0.3218733,28.496248,0.24686758,0.028803647,0.5333103,-0.021515083,-0.5316391,0.41421437,0.4010553,31.646912,0.24248606,15.9981985,0.57300305,3.746363,2.8721652,6.6864467,1.602136,-14.068932,22.703234,0.020899601,-0.011552885,0.25474682,2.5006254,2.428643,0.22958763,0.20387949,0.17377777,0.27507,-22.738134
76,33.382725,0.07372804,32.00334,33.26258,35.081013,3.077671,198.87042,377.34265,28.869799,40.90486,0.44184017,0.32721663,0.28700858,0.44123363,0.5574468,0.2704382,2.9270296,1.7084699,1.6048365,0.93677545,0.18215342,0.51042885,26.873375,0.36858046,11.832875,0.67390263,4.052855,2.319005,-1.4347008,-8.067921,0.0224679,1.5226194,1.2218647,0.45314902,6.8616776,0.34597936,6.7140126,1.6977648,29.211697,0.25986367,658.1969,0.29976717,1443.6189,0.14897324,-104.102264,-0.8833969,1707.972,0.13811596,1186.8995,0.22168532,-108.30956,-0.77547365,2783.855,0.08593328,1022.518,0.3214923,-111.837074,-0.7210307,-18.611847,-0.27552104,29.828396,0.1901144,0.03776136,0.50978476,-0.021388508,-0.5338039,0.21232943,0.379249,31.2531,0.20352596,12.03756,0.6328006,3.9025369,2.6411633,-4.960928,-2.3828385,-12.65162,21.52094,0.024716955,-0.011242886,0.14883316,2.9007254,2.3034554,0.21967392,0.19858438,0.19833334,0.26898676,-28.849056
77,28.289286,0.05722924,26.907679,28.141161,29.549374,2.641695,71.028946,107.12602,26.574314,52.613995,0.48387608,0.40516588,0.2755081,0.46612474,0.6464749,0.3709668,2.923986,1.7931684,2.1695693,1.438963,0.2383607,0.58542764,28.444712,0.34580526,13.249507,0.6341403,10.276055,1.0288455,5.3262887,2.0342326,0.019974163,0.79966354,1.2219748,0.4706709,5.3731484,0.3782811,2.2529688,3.5323489,28.897247,0.23930967,533.65594,0.3598279,1359.368,0.14239192,-107.19475,-0.8687697,1609.6207,0.15112631,1074.1027,0.27426985,-114.33885,-0.7377491,2699.6575,0.09082383,961.5664,0.30703744,-117.44438,-0.6916198,-19.723766,-0.24190022,29.707125,0.17392689,0.027516097,0.65896696,-0.018663524,-0.66322345,0.2988735,0.40051982,33.71172,0.17937967,12.812937,0.6870627,13.806725,0.8040709,4.4786816,2.8169436,-14.472582,23.547056,0.012972282,-0.010766025,0.17984214,2.6006503,2.203305,0.21431817,0.19064957,0.22928572,0.25351706,-26.233953
78,37.73543,0.07768733,36.69344,38.155785,39.317413,2.6239738,165.03465,255.51453,59.089027,108.36859,0.4607315,0.2656133,0.34646475,0.4563274,0.56792223,0.22145748,2.7008579,1.5035397,1.7707312,0.86861044,0.1571231,0.42612955,17.168566,0.5678853,8.636542,1.1580416,4.327525,2.206011,-0.9176448,-9.996816,0.033255134,0.9714277,1.3174961,0.4260147,7.713262,0.35596073,8.268903,1.1982113,18.060005,0.49937505,854.13715,0.21381491,1300.7391,0.15440404,-128.87796,-0.6548024,1897.4221,0.11112543,1034.5868,0.3243972,-126.742294,-0.6374016,2890.916,0.07707921,909.5814,0.3956573,-127.279564,-0.62962717,-15.766731,-0.3657946,25.245676,0.28288427,0.045775864,0.32581103,-0.012777234,-0.8569921,0.19326968,0.34679788,21.405138,0.33618766,9.244713,0.95529336,5.809527,1.9158753,-4.054861,-2.40727,-8.976174,17.277487,0.035639178,-0.004382926,0.13004604,3.8259566,2.8042064,0.14392857,0.12062601,0.19414414,0.18663192,-30.017864
79,35.336006,0.08518805,33.503304,35.185974,37.393345,3.8900414,124.89054,231.65282,30.537872,40.121174,0.52953804,0.3644034,0.3603708,0.52278167,0.6737972,0.31342638,3.750677,2.0354638,2.4682336,1.3133048,0.23279797,0.55450255,24.264093,0.37865362,9.572953,1.0819318,7.5016713,1.796403,-6.1331615,-2.154778,0.025016492,1.3065206,1.2333056,0.5002147,7.4634056,0.3978506,6.8233047,1.4830779,23.56286,0.37039745,765.9705,0.27030283,1389.76,0.16170125,-91.36167,-0.95100904,1807.9998,0.12823266,1120.9214,0.28956655,-93.86878,-0.8535192,2858.973,0.08271102,931.081,0.4054336,-96.318954,-0.810966,-17.060123,-0.40770188,28.151947,0.28774092,0.04392693,0.4988278,-0.018869082,-0.5879244,0.27447745,0.4157818,27.254002,0.28443933,10.200649,1.0825973,8.081185,1.7922721,-8.634227,-1.6303232,-11.325973,20.776962,0.035042293,-0.008352587,0.16610616,3.3008254,2.5788684,0.23029126,0.2088222,0.14946808,0.21840023,-26.035597
80,35.495888,0.08802561,34.46067,35.98026,37.432568,2.9718971,188.85196,393.3211,28.868748,31.035496,0.50431377,0.4174711,0.3196584,0.48287964,0.6673055,0.34764713,3.9763825,1.9991233,2.517561,1.2257086,0.24609838,0.6166551,26.243082,0.42713684,12.966454,0.9066437,2.4927726,5.4294496,-6.07407,-1.9638104,0.025058016,1.3461325,1.2361045,0.5123053,7.9323344,0.39692768,4.862934,2.0253446,27.3827,0.3067837,713.45715,0.28516707,1414.2844,0.15478961,-87.56937,-0.9923558,1750.4355,0.14432558,1149.2051,0.25918958,-89.54202,-0.8841617,2856.722,0.084011935,983.24164,0.2919324,-94.62407,-0.7954335,-17.895311,-0.3970765,31.340254,0.22010112,0.04291426,0.45501384,-0.019903371,-0.61058277,0.29305086,0.48163906,30.04328,0.29102442,12.027584,1.0329164,1.5515546,9.670848,-8.535782,-1.443029,-12.178055,22.623482,0.02334681,-0.009352147,0.16303372,3.1507878,2.5538309,0.24215686,0.19715442,0.1466292,0.1848652,-25.69653
