ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,self-esteem,SE
268,35.070377,0.07055,33.886868,34.964108,36.746193,2.8593254,136.55211,334.18738,54.023357,182.85852,0.45924285,0.5399285,0.20828876,0.42417017,0.6691038,0.46081504,4.8308616,3.2098558,2.3401566,1.2574583,0.21490422,0.78386104,26.56042,0.38330498,13.800448,0.7175033,3.2854362,3.5256097,1.1406212,9.114176,0.02080278,1.61598,1.1311522,0.5350599,8.508413,0.32368785,6.041391,1.4675499,29.913841,0.2739018,751.0142,0.2357015,1372.0631,0.14364988,-98.9602,-0.9173198,1826.99,0.12022801,1104.2463,0.28943393,-104.2811,-0.79533386,2922.047,0.08618901,998.19366,0.33313876,-108.47957,-0.72960776,-19.78206,-0.34187254,31.44318,0.2624583,0.03868175,0.49124104,-0.022574924,-0.5843125,0.30241087,0.51774895,31.389168,0.27621466,14.173618,0.8019322,0.45329785,29.708368,-2.817437,-3.9807642,-13.665002,20.73944,0.013232293,-0.005680835,0.102933325,2.2255566,1.5272909,0.3595082,0.2634165,0.30381817,0.4009828,-25.24635,36,36
269,25.442097,0.124777,23.616467,24.669748,25.821297,2.2048302,81.596344,100.98884,101.11113,212.65137,0.41596,0.5279573,0.20073524,0.37851438,0.6111438,0.4104086,3.3031304,1.9076481,2.0359485,1.1627154,0.16387983,0.73381317,27.310951,0.37416154,12.4980545,0.6694921,6.0384192,1.6832784,2.5515525,3.8923552,0.021462943,1.8793411,1.1118569,0.55981535,5.0435557,0.46630496,12.334331,0.5809784,32.77192,0.26836485,616.6639,0.3787981,1416.4302,0.13928801,-108.31428,-0.87811977,1658.1462,0.1784527,1143.933,0.23206209,-111.908035,-0.7982,2750.562,0.11210413,1054.6445,0.3303959,-115.64698,-0.7386448,-18.800982,-0.31532642,30.741121,0.22212493,0.030396137,0.64404875,-0.018606927,-0.71769714,0.23252188,0.45722863,33.91008,0.22701938,11.939171,0.8356316,6.7957826,1.8204001,1.0031415,12.300798,-13.111894,23.187948,0.011423484,-0.008680929,0.09949215,2.1005251,1.6024036,0.293125,0.23298924,0.32032257,0.44871485,-27.544163,30,30
270,22.383425,0.08491341,20.868858,22.051748,23.652279,2.7834206,158.28185,281.95325,73.07158,291.4049,0.5001475,0.41024643,0.30576435,0.46117833,0.6591939,0.35342953,3.6417308,2.6496131,2.460901,1.5968134,0.2506916,0.5522211,28.379421,0.29500985,12.147878,0.59625477,6.026369,1.6649098,0.9677716,9.735873,0.018748231,0.97644055,1.3454996,0.5357099,3.0600243,0.5237787,10.111525,0.58630145,31.755573,0.20695919,647.40686,0.34974176,1414.9254,0.14774325,-126.92253,-0.713959,1699.8776,0.17507257,1122.4875,0.2539291,-130.3869,-0.6532339,2770.0164,0.10079211,986.9534,0.3114249,-132.57988,-0.6220683,-17.61045,-0.28235963,28.21373,0.20689733,0.013396923,1.4726558,-0.020206727,-0.5497376,0.3312518,0.37251773,31.938457,0.20475441,12.638668,0.6312298,10.175976,1.1803746,1.2302675,9.918074,-13.950735,23.568413,0.01736952,-0.013725575,0.19947544,2.3255816,2.0530796,0.17951219,0.1527145,0.2839759,0.45821536,-26.515162,29,30
271,37.277245,0.048127223,36.602203,37.16787,38.45206,1.8498573,57.072304,88.65047,23.361656,31.776657,0.4917597,0.49527022,0.23158935,0.48337364,0.70999014,0.4784008,3.5603561,2.105425,2.5898619,1.695178,0.23715334,0.7311545,27.62172,0.28998852,12.883598,0.7436011,3.770986,2.6608827,-0.17368086,-68.061966,0.021865433,1.7155644,1.0591664,0.53554535,9.759722,0.2784549,8.081108,1.3568515,27.446114,0.30275446,751.3746,0.2729682,1426.9731,0.17577624,-106.35741,-0.84190625,1784.7867,0.12788548,1133.3219,0.28761777,-105.516426,-0.78676134,2912.6829,0.07688961,949.0315,0.33624843,-110.15013,-0.7147307,-19.972263,-0.34765688,31.986187,0.23202956,0.039309625,0.44611058,-0.018756513,-0.6484505,0.32290438,0.4918056,30.32274,0.27168956,13.059183,0.88285375,3.4126449,3.6150887,-4.745063,-2.7744741,-14.9893465,24.287703,0.016695978,-0.006590214,0.12878641,2.175544,1.301953,0.42057693,0.39004147,0.36847827,0.57385415,-23.926435,31,31
274,33.67271,0.109487094,32.726864,34.624203,35.866116,3.1392517,205.114,291.50037,74.57881,201.31223,0.41684148,0.39261675,0.2296392,0.4212265,0.5690293,0.33939007,3.383385,1.6473359,2.1646237,1.1581182,0.18073675,0.5435882,24.123436,0.40229133,16.612217,0.45978597,6.8140383,1.4514482,1.7723595,4.931614,0.031135822,1.4193429,1.2688133,0.51813006,7.663203,0.3549657,6.382373,1.3945227,27.25241,0.33687478,759.02374,0.2787632,1418.4764,0.18219966,-125.50592,-0.69161206,1796.1427,0.1390235,1137.3118,0.29496527,-127.42547,-0.635309,2902.4019,0.08164593,913.1764,0.36041942,-130.03891,-0.5995369,-19.362898,-0.28800368,31.666153,0.23292279,0.02452591,0.7299139,-0.016852673,-0.69627,0.23283081,0.3615611,28.502459,0.26642916,16.8394,0.4463397,5.7452965,2.0797615,-0.68747205,-14.7388,-14.540092,24.305872,0.011663335,-0.008944294,0.14150424,3.3258317,2.203305,0.18636364,0.15977386,0.26463413,0.4379921,-27.665215,21,21
275,22.98192,0.11437791,21.284365,22.526073,24.324738,3.0403728,49.436092,56.387497,29.91567,44.828934,0.3466059,0.48242724,0.2135722,0.24449424,0.4925576,0.27898538,2.8338087,2.0140977,1.8180948,1.1311861,0.15540932,0.80509335,25.375444,0.36201596,14.881763,0.4816375,7.7668653,1.1353515,2.360627,3.4085174,0.019637167,1.0818115,1.300453,0.5451463,3.6525059,0.5463421,6.379681,1.1633422,31.750893,0.24882498,633.4254,0.35140708,1410.1176,0.13848093,-141.09476,-0.61751145,1712.3236,0.16827872,1157.9655,0.24078864,-145.7762,-0.54592234,2755.2917,0.10326823,1016.88403,0.3011022,-146.7884,-0.5317941,-21.156437,-0.245016,30.006113,0.21246047,0.01831135,1.0095534,-0.019128263,-0.7143337,0.25246757,0.4562304,31.618193,0.23912713,17.888025,0.4454776,12.89633,0.79078305,1.9105412,5.6977725,-13.615448,21.443954,0.01267089,-0.008381744,0.11164234,1.8004502,1.4271407,0.20894736,0.15246148,0.4881818,0.81369215,-28.910927,38,38
276,27.626396,0.1317475,24.805258,26.333916,30.290567,5.4853096,125.49476,133.54553,80.263374,92.47123,0.73194206,0.4518217,0.35077244,0.75544494,1.0069528,0.6561803,5.4634237,2.7746751,3.97532,2.065156,0.4323612,0.65592873,27.154413,0.4360719,8.662008,1.1738665,18.199856,0.8750392,2.9201624,4.0218024,0.02869955,1.3697636,1.2900753,0.52455026,4.9794264,0.4717162,10.559105,0.76899874,27.254467,0.33946827,650.687,0.38710886,1384.4198,0.17307726,-103.83431,-0.87869465,1712.146,0.16191733,1024.5944,0.3206765,-106.73361,-0.8014824,2734.1655,0.10416619,990.6918,0.3092719,-107.97443,-0.7807503,-17.433987,-0.32180092,25.10581,0.2685637,0.029598624,0.59967035,-0.019651387,-0.6196739,0.5046046,0.43977994,31.915424,0.2758011,7.520035,1.4263104,22.337122,0.7151978,2.336625,5.651146,-12.469865,20.221191,0.023703732,-0.011615821,0.35451034,3.1257815,2.7290938,0.18220183,0.1382748,0.1730097,0.24181286,-21.00174,33,33
277,36.141407,0.14658922,35.06696,37.322792,39.358448,4.2914886,487.98813,527.07935,95.79713,117.247635,0.430849,0.39670345,0.27035692,0.3982954,0.5744991,0.30414215,2.7898424,1.8561084,1.8707726,1.2861305,0.19213751,0.5916084,24.999985,0.3488569,14.5862255,0.62086743,3.1147583,2.9598489,2.2281713,4.3010397,0.03298113,1.5165693,1.2819077,0.4931373,7.6578736,0.39667633,7.0965624,1.5493644,26.482386,0.3501542,791.41364,0.24317935,1363.7104,0.14089093,-146.35979,-0.54649264,1837.2316,0.122052476,1126.2479,0.25730294,-145.55537,-0.5223197,2919.5735,0.08197632,943.8925,0.3731423,-147.15623,-0.501204,-19.986532,-0.3053704,30.936098,0.23931175,0.020635966,1.0247346,-0.018278971,-0.5382591,0.2549883,0.4423502,27.51466,0.25122315,16.569681,0.5130128,2.9005475,4.075528,-2.0823293,-5.587461,-14.559163,24.299154,0.007922608,-0.011585194,0.16214685,2.275569,2.2784176,0.13318682,0.11496657,0.29488635,0.36751312,-27.509531,29,30
279,34.878857,0.10541774,33.110016,35.279755,37.46467,4.3546524,277.48495,379.11285,63.833893,79.34678,0.41487736,0.34251663,0.26729697,0.398792,0.537261,0.26996404,2.9824991,1.8732966,1.8466386,0.93097305,0.18966657,0.6371541,23.129942,0.3697707,13.70887,0.59667885,8.794554,1.1372099,1.0920646,9.475412,0.032003477,1.3676528,1.3657763,0.44897607,7.5895677,0.34645665,4.1473064,2.3294797,19.516235,0.44698244,818.7238,0.23845893,1356.8086,0.18077713,-131.4688,-0.6331588,1850.5609,0.120979056,1110.206,0.31249246,-132.46873,-0.5953738,2902.92,0.082936585,914.5142,0.3872761,-133.86606,-0.5763951,-19.258549,-0.32629228,29.099041,0.26567742,0.019653331,0.82814544,-0.015783006,-0.6470613,0.23771554,0.4773805,25.535543,0.26179293,14.957962,0.61254513,11.197699,0.9361169,-2.1241655,-5.7544823,-13.954588,23.39058,0.01369176,-0.009561894,0.1576108,3.1757941,2.7541313,0.13736363,0.09881733,0.22297029,0.34096697,-28.17314,33,33
280,34.69584,0.13552806,33.589146,35.87452,37.880272,4.2911263,277.50223,354.8202,98.87801,196.34164,0.39282697,0.40256387,0.22842672,0.3871514,0.5247488,0.29632208,2.8517628,1.6520512,2.1301425,1.4812013,0.18657067,0.6373872,25.475475,0.37725028,16.371706,0.62821347,6.6271214,1.6497641,1.7891716,4.924474,0.031798214,1.3624163,1.3841152,0.46013772,6.7636576,0.38350627,12.340026,0.85750514,30.105167,0.26474625,738.09106,0.24058434,1406.312,0.16319181,-133.418,-0.6339299,1804.1731,0.1152204,1117.4103,0.30138353,-134.73691,-0.58466536,2885.4988,0.07323994,938.34717,0.3382381,-136.99037,-0.554225,-19.427948,-0.32035002,30.653505,0.22854714,0.028764287,0.66571754,-0.018956473,-0.5290912,0.24169467,0.47000933,29.254992,0.29183307,16.79297,0.63200456,5.3129253,2.2823837,-0.54401433,-16.855291,-15.460257,24.472431,0.011645206,-0.011480137,0.15224122,2.7006752,2.8042064,0.12883928,0.1294614,0.22485436,0.32607365,-28.775917,31,31
