ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile50.0,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,self-esteem
157,36.46261,0.07238484,36.28476,0.67715985,0.38991928,0.6507415,0.33180034,0.53088933,7.955436,0.37463945,-17.49937,-0.44374618,0.12633333,0.18190625,34
158,34.71524,0.077379994,34.96758,0.46224114,0.3829185,0.41605076,0.19291896,0.4537032,6.6922784,0.3365766,-16.475813,-0.35774586,0.4284058,0.6848878,32
159,31.900185,0.055063345,32.106445,0.49356383,0.29478088,0.47783804,0.23418294,0.3805839,5.7121162,0.3780178,-17.151155,-0.29293147,0.2540625,0.39763245,33
160,25.465073,0.064396545,25.507282,0.70182645,0.5016555,0.69124603,0.32705188,0.6176578,4.610071,0.46350387,-15.5362215,-0.35291836,0.12477273,0.15988615,29
161,38.426514,0.081866406,39.014397,0.3968832,0.6019801,0.2677519,0.17240714,0.84622526,8.254009,0.37489614,-16.419178,-0.41944063,0.5205769,1.1772057,30
162,35.4634,0.05136188,35.497112,0.3842914,0.3076123,0.38303995,0.1489519,0.51976556,8.836121,0.30344862,-19.84348,-0.30169976,0.20126583,0.43405756,29
166,35.50796,0.07614527,35.806973,0.32686022,0.3612013,0.33004376,0.11814769,0.57806814,9.65311,0.27507576,-22.074966,-0.28303558,0.2834328,0.61147374,23
170,35.798035,0.06021039,35.65545,0.46987268,0.35576245,0.47385034,0.22908707,0.5982106,7.881011,0.31568375,-20.117891,-0.24695687,0.14020833,0.1930888,30
172,35.426914,0.105791755,36.206825,0.32707253,0.43687972,0.2509359,0.115351394,0.56182015,6.9111156,0.34121642,-14.241222,-0.44396558,0.4686885,1.9791383,33
176,35.15389,0.065410905,35.27747,0.58641595,0.37157923,0.5689819,0.2583465,0.45743263,7.3468184,0.329264,-16.292126,-0.36374545,0.26125,0.5119758,29
179,33.93312,0.055058587,33.87346,0.43645093,0.45252275,0.426111,0.20389679,0.6541072,8.670705,0.26515752,-21.034643,-0.32908398,0.22012986,0.46105605,31
180,34.711445,0.11532019,35.88554,0.56198996,0.64233977,0.48424163,0.24819605,0.84674317,7.6400714,0.43669242,-16.381971,-0.3679818,0.45069766,1.0551146,20
187,32.29548,0.06145013,32.280113,0.40822768,0.4472989,0.3991207,0.17088476,0.6320094,7.3322716,0.32703328,-18.751045,-0.34677178,0.276338,0.6326097,36
189,34.31148,0.11187074,34.999752,0.4332681,0.4331209,0.42827392,0.18144639,0.5943178,6.702041,0.45383185,-17.41371,-0.3388434,0.24897727,0.39189816,34
193,32.063915,0.090780154,32.075928,0.44269145,0.43077666,0.44113746,0.20369871,0.6122867,7.584008,0.32845607,-20.25354,-0.30654186,0.2081111,0.4040734,30
194,37.29327,0.044250287,37.24774,0.5814086,0.37112916,0.5716038,0.31245294,0.56462693,9.2543955,0.26172918,-19.679388,-0.33162338,0.21376623,0.49284503,24
196,33.63179,0.05089983,33.616817,0.44713956,0.39079663,0.44091484,0.20150393,0.6009879,7.756073,0.30643174,-20.294588,-0.27954262,0.17352942,0.34081465,28
199,36.630054,0.0753815,36.823055,0.4517348,0.40958536,0.44682813,0.19582476,0.5887788,8.46435,0.30415338,-19.19448,-0.2994978,0.23652174,0.51081884,34
201,32.49792,0.045012906,32.47035,0.75202674,0.41438589,0.7428279,0.30318907,0.48228905,7.194149,0.34204936,-13.432984,-0.39913777,0.13418919,0.15981415,37
203,26.47373,0.08426551,25.910059,0.51202136,0.41557214,0.4989283,0.24198681,0.5684557,3.9105875,0.5297482,-15.854596,-0.31524247,0.16620371,0.23637193,37
205,31.45601,0.14145713,33.270206,0.3084634,0.29318264,0.2974166,0.09712065,0.39462805,6.9450765,0.3596289,-18.857845,-0.2390285,0.31366196,0.608066,22
209,37.292416,0.076923,37.466377,0.54082644,0.39757094,0.54531044,0.21561065,0.5714377,7.7793674,0.3607961,-14.352905,-0.4223463,0.15363635,0.2522813,32
210,38.14863,0.04695473,38.298214,0.41916516,0.3806043,0.41461957,0.14761841,0.5318603,8.401787,0.33029926,-16.056448,-0.38758755,0.24358974,0.32167816,28
211,35.69925,0.053203654,35.7697,0.6080408,0.35425544,0.59442216,0.22959627,0.56315345,7.4222274,0.3748963,-14.509872,-0.29429746,0.21513888,0.50578046,29
213,26.784838,0.11186039,26.669746,0.51152843,0.48285702,0.5134472,0.2678597,0.71542543,4.2655807,0.5848625,-17.677794,-0.31626055,0.24978495,0.49716178,32
215,33.259983,0.07929906,33.508366,0.35063,0.53955907,0.26995364,0.1326005,0.74655914,7.955472,0.30833486,-17.270607,-0.39021882,0.42288458,0.7267535,23
217,35.02682,0.057781454,35.01962,0.52176166,0.34550694,0.5169478,0.20658918,0.520972,7.982178,0.34269357,-17.41872,-0.32831162,0.15277778,0.15374602,24
218,36.43659,0.13231884,36.945312,0.48411992,0.36186582,0.47198796,0.21239462,0.49332327,6.7327576,0.41655788,-17.144562,-0.3631905,0.15948905,0.17599899,31
219,27.156986,0.04813488,27.03286,0.46551654,0.43929154,0.46627012,0.20937276,0.56387204,5.6825395,0.3501717,-19.000933,-0.30586684,0.20469879,0.35052916,32
220,39.199326,0.11832357,40.36912,0.4576958,0.48538288,0.4303523,0.1770413,0.60074973,7.7611527,0.39600965,-15.314181,-0.41511315,0.2396591,0.27250287,37
221,23.439724,0.04935615,23.424854,0.46890032,0.49863088,0.44307384,0.24443974,0.6624287,3.5044105,0.57816476,-18.044682,-0.3434098,0.35764706,0.4644545,22
223,35.964428,0.10926029,36.10907,0.39672747,0.34987152,0.3892264,0.14467657,0.45768178,7.059885,0.3414908,-16.12726,-0.35089532,0.2076699,0.32007945,30
224,35.530857,0.055275723,35.44601,0.5986353,0.43058592,0.58972096,0.29200763,0.6181971,8.256052,0.3407832,-17.978111,-0.3639975,0.18987805,0.38097915,32
226,34.105022,0.05599546,34.35474,0.45947435,0.53207254,0.43387207,0.20172845,0.7229857,6.854265,0.38336092,-15.924853,-0.43286496,0.2988158,0.6015352,33
227,35.298927,0.06036615,35.416935,0.6205574,0.39198062,0.5939901,0.25563586,0.5659849,8.638714,0.3500066,-16.68478,-0.4812414,0.15109375,0.19571272,34
228,26.537962,0.08259534,26.182272,0.54241216,0.4482852,0.5070569,0.26001692,0.63253754,5.507426,0.3867314,-18.36758,-0.36162344,0.138,0.18892723,29
229,35.357864,0.09814668,36.033943,0.4261901,0.3638485,0.41659734,0.182503,0.5351741,8.77117,0.34671977,-21.630812,-0.33150622,0.175,0.3502947,37
230,33.264633,0.105759375,34.265854,0.5042533,0.35748446,0.49821624,0.2032169,0.49482945,6.924873,0.39751324,-17.650967,-0.32527202,0.13092783,0.1615331,30
231,36.75035,0.054076754,36.491447,0.66652,0.38237593,0.66810274,0.3762259,0.57161146,8.702373,0.34551823,-18.68426,-0.38678342,0.13190477,0.14794742,36
232,35.6833,0.12417044,36.86167,0.46084896,0.34882662,0.4585327,0.18055196,0.45503062,6.858269,0.38641265,-17.0298,-0.32684785,0.20019047,0.30098253,29
233,35.578705,0.079187095,36.01981,0.34114787,0.37042692,0.3251525,0.13207784,0.5539449,8.310303,0.31623092,-20.389746,-0.31150326,0.33969694,0.7307551,29
234,36.2293,0.06758191,36.080708,0.78082067,0.39624116,0.73318076,0.47878364,0.5971497,7.1720834,0.3630206,-17.007326,-0.35440144,0.123879306,0.17068712,31
